pmid,title,year,source
41239844,TRPS1::PLAG1 Fusion in a Primary Cutaneous Myoepithelial Carcinoma: A Case Report and Literature Review.,2025,breast cancer
41239841,Laser and radiofrequency for treating genitourinary syndrome of menopause in breast cancer survivors: A systematic review of randomized controlled trial.,2025,breast cancer
41239724,Effect of early shoulder functional exercise timing on drainage duration and subcutaneous seroma formation in overweight women undergoing modified radical mastectomy for breast cancer.,2025,breast cancer
41239718,Causal relationship between subhealth status and pan-cancer risk: A Mendelian randomization study.,2025,breast cancer
41239655,Efficacy and safety of trastuzumab deruxtecan for metastatic HER2+ and HER2-low breast cancer: A systematic review and meta-analysis.,2025,breast cancer
41239630,Causal association between autoimmune diseases and risk of breast cancer: A bidirectional Mendelian randomization study.,2025,breast cancer
41239548,Automatic dual-modality breast tumor segmentation in PET/CT images using CT-guided transformer.,2025,breast cancer
41239533,PREDICT breast v4.0: an update to the PREDICT breast prognostic model.,2025,breast cancer
41239501,Diverging global incidence trends of early-onset cancers: comparisons with incidence trends of later-onset cancers and mortality trends of early-onset cancers.,2025,breast cancer
41239478,Dynamic tumor-infiltrating lymphocytes predicts survival in HR+/HER2- early breast cancer: a pre-to-post neoadjuvant chemotherapy study.,2025,breast cancer
41239397,Is conformal thyroidectomy feasible? A 5-10-year follow-up study of residual thyroid in 2512 cases after thyroidectomy.,2025,breast cancer
41239387,Mammography attendance in China's national breast cancer screening program: a county-level analysis of the Fujian province.,2025,breast cancer
41239237,"The difference in contralateral breast cancer and ovarian cancer risks for BRCA1 founder variant (c.5266dup, c.4035del) carriers with primary breast cancer.",2025,breast cancer
41239082,Investigating Real-World Evidence and Reported Survival Outcomes of CDK4/6 Inhibitors in HR+/HER2- Advanced Breast Cancer.,2025,breast cancer
41239069,Psychosocial factors of dietary self-management behavior based on Integrated Theory of Health Behavior Change in elderly breast cancer patients treated with chemotherapy: a multicenter cross-sectional study.,2025,breast cancer
41239022,Effectiveness of telehealth versus face-to-face appointments in identifying complications following breast cancer surgery.,2025,breast cancer
41239020,Mucoadhesive Carbohydrate-Based Polymeric Nanocapsule Loaded with Palbociclib for Enhanced GIT Retention and In Vitro Anticancer Efficacy in MDA-MB-231 Cells.,2025,breast cancer
41238982,Germline BRCA1/2 Mutation Prevalence in Unselected ER-Low/HER2-Negative Breast Cancer.,2025,breast cancer
41238950,Impact of sarcopenia on paclitaxel-induced peripheral neuropathy in early-stage breast cancer: a prospective observational study (the neuro-sarc study).,2025,breast cancer
41238847,Breast Reconstruction Through the Decades: a Review of Innovations and Surgical Trends.,2025,breast cancer
41239736,"The role of chronic obstructive pulmonary disease mediated by immune cells on lung adenocarcinoma: A two-step, two-sample Mendelian randomization study.",2025,lung adenocarcinoma
41239725,Pneumonic-type lung carcinoma with respiratory failure as the first manifestation: A case report and literature review.,2025,lung adenocarcinoma
41239716,Identification and validation of a diagnostic and prognostic model based on immune escape and cancer-associated fibroblast-related genes in lung adenocarcinoma.,2025,lung adenocarcinoma
41239532,Impact of post-ablation pulmonary vein adhesions on robot-assisted thoracoscopic surgery lobectomy: a case report.,2025,lung adenocarcinoma
41239464,Integrating genetic crosstalk between atherosclerosis and lung adenocarcinoma to advance precision diagnosis and treatment.,2025,lung adenocarcinoma
41239154,Feasibility of Early Dynamic <sup>18</sup>F-FDG PET/CT Imaging for Predicting EGFR and TP53 Mutations in Lung Adenocarcinoma.,2025,lung adenocarcinoma
41237980,Body Mass Index and Survival after Surgery for Gastric Adenocarcinoma - a Population-based Nationwide Cohort Study in Finland.,2025,lung adenocarcinoma
41237922,Glycosylation-associated plasma SNORD99 as a novel diagnostic biomarker for early-stage lung adenocarcinoma.,2025,lung adenocarcinoma
41237333,Obesity-Associated TRIM15 Promotes the Proliferation of Esophageal Adenocarcinoma Through the YY2/FOXRED1 Axis.,2025,lung adenocarcinoma
41236858,Lung Metastatic Recurrence as Carcinosarcoma from Ovarian Mesonephric-Like Adenocarcinoma: A Case Report.,2025,lung adenocarcinoma
41235343,Glucokinase Regulatory Protein (GCKR) Links Metabolic Reprogramming With Immune Exclusion: Insights From a Pan-Cancer Analysis and Gastric Cancer Validation.,2025,lung adenocarcinoma
41235164,Synthesis of iron oxide quantum dots by non-thermal atmospheric pressure plasma electrolysis: influence of operating conditions and biomedical applications.,2025,lung adenocarcinoma
41235087,Case Report: Severe palmoplantar hyperkeratosis and pain four months post-tepotinib initiation: A hand-foot skin reaction.,2025,lung adenocarcinoma
41235006,Lung Adenocarcinoma With Subintimal Spread Along the Pulmonary Artery: A Case Report.,2025,lung adenocarcinoma
41234870,Methylation-regulated tumor suppressor gene <i>HOXB4</i> inhibits human lung adenocarcinoma A549 cell invasion and metastasis through the RAP1 signaling pathway.,2025,lung adenocarcinoma
41234864,Identification and validation of an immune-related programmed cell death signature for predicting prognosis and immunotherapy in large-scale multicenter cohorts for lung adenocarcinoma.,2025,lung adenocarcinoma
41234862,Integration of single-cell and bulk transcriptomics to explore prognostic and immunotherapeutic characteristics of sodium overload-induced cell death in lung adenocarcinoma.,2025,lung adenocarcinoma
41234855,LINC01314 suppresses proliferation and invasion via epithelial-to-mesenchymal transition regulation in lung adenocarcinoma.,2025,lung adenocarcinoma
41234824,Integrated multi-omic analysis unravels the characteristics of the metabolism-related intratumoral microbes and establishes a novel signature for predicting prognosis and therapeutic response in lung adenocarcinoma.,2025,lung adenocarcinoma
41234731,Development and validation of machine learning models for predicting STAS in stage I lung adenocarcinoma with part-solid and solid nodules: a two-center study.,2025,lung adenocarcinoma
41239574,PD-1/PD-L1 Checkpoint Dysfunction in Vitiligo: Novel Pathogenic Insights and Therapeutic Innovation.,2025,melanoma
41239501,Diverging global incidence trends of early-onset cancers: comparisons with incidence trends of later-onset cancers and mortality trends of early-onset cancers.,2025,melanoma
41239499,An immunometabolic prodrug strategy overcomes DHODH inhibitor resistance in refractory melanoma.,2025,melanoma
41239432,Baricitinib could improve the prognosis of anti-MDA5 antibody positive dermatomyositis associated interstitial lung disease.,2025,melanoma
41238964,Exploration of the roles of CAFs in melanoma based on single-cell transcriptomics and spatial transcriptomics.,2025,melanoma
41238915,Microbial signals in primary and metastatic brain tumors.,2025,melanoma
41238849,Butyrate promotes T cell 'stemness' to support immunity to melanoma.,2025,melanoma
41238574,Regulation of lipoprotein processing by GPNMB in foamy macrophages: potential therapeutic targets for atherosclerosis.,2025,melanoma
41238504,Therapy-Induced Metastatic Melanoma During Treatment With Encorafenib and Cetuximab for BRAF-Mutated Colorectal Cancer: A Case Report and Short Literature Review.,2025,melanoma
41238472,The promise of TIL therapy for glioblastoma.,2025,melanoma
41238218,TAMs-mediated resistance to oncolytic virus M1 in solid tumors.,2025,melanoma
41238189,Phosphatidylserine blockade by dipicolylamine-zinc enhances chemoimmunotherapy of B16F10 melanoma.,2025,melanoma
41237926,"Disparities in melanoma survival in Asian American and Pacific Islander patients: A Surveillance, Epidemiology, and End Results (SEER) program-based analysis.",2025,melanoma
41237925,Utility of 31-gene expression profile for American Joint Commission on Cancer pT1a melanomas.,2025,melanoma
41237414,BAP1-Inactivated Melanocytic Tumors With Distinctive p16-Negative Clonal Growth and Liver Metastases.,2025,melanoma
41237350,Harvesting Risk: An Ecologic Study of Agricultural Practices and Patterns and Melanoma Incidence in Pennsylvania.,2025,melanoma
41237160,In vivo investigation of STN1 downregulation in melanoma formation in adult mice following UV irradiation.,2025,melanoma
41237077,Phytochemical Characterization and Anticancer Potential of Avocado Seed Oil.,2025,melanoma
41237013,"Chromatography-guided purification and characterization of <i>p-</i>hydroxyphenethyl anisate as a potent anti-melanogenesis component from the concentrated Chinese medicine, Qiang Huo.",2025,melanoma
41236788,The Effects of a Modified Mediterranean Diet on Gut Microbiota and Chemotherapy Side Effects in Patients With Metastatic Colorectal Cancer Undergoing First-Line Chemotherapy With or Without Either Antiepidermal Growth Factor Receptor or Antivascular Endothelial Growth Factor Agent: Protocol for a Randomized Pilot Study in Italy.,2025,melanoma
41239792,An Overview of Colon Specific Drug Delivery: Approaches and Evaluation Aspects.,2025,colorectal cancer
41239745,Concerns on the statistical methodology and incomplete reporting of patient information in the long-term outcomes of biologic therapy for prepouch ileitis.,2025,colorectal cancer
41239718,Causal relationship between subhealth status and pan-cancer risk: A Mendelian randomization study.,2025,colorectal cancer
41239704,LC3 overexpression in colorectal cancer - strong correlation with M1 tumor-associated macrophages: An observational study.,2025,colorectal cancer
41239679,"A clinical prediction model for metachronous distant metastasis in stage II-III pMMR/MSS colorectal cancer: A single-center, retrospective study.",2025,colorectal cancer
41239648,A case report of insulin autoimmune syndrome induced by drugs for colorectal cancer.,2025,colorectal cancer
41239643,Perineural invasion as both a prognostic factor for stage II rectal cancer and an indicator for adjuvant chemotherapy.,2025,colorectal cancer
41239615,"Expression and clinicopathological significance of KAI1, MACC1, and AGR2 in cervical squamous cell carcinoma.",2025,colorectal cancer
41239614,Causality relationship between 91 inflammatory factors and 5 intestinal diseases: A two-sample bidirectional Mendelian randomized study.,2025,colorectal cancer
41239610,Causal relationship between plasma homocysteine levels and colorectal cancer: A Mendelian randomization study.,2025,colorectal cancer
