nct_id,drug_name,status,phase,start_date,why_stopped
NCT00725231,Doxorubicin,UNKNOWN,PHASE3,,
NCT01321775,Doxorubicin,UNKNOWN,PHASE2,,
NCT04506554,Doxorubicin,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT00903630,Doxorubicin,TERMINATED,"PHASE1,PHASE2",,lack of funding
NCT00309569,Doxorubicin,COMPLETED,PHASE3,,
NCT00309881,Doxorubicin,COMPLETED,PHASE2,,
NCT03452553,Doxorubicin,WITHDRAWN,NA,,"CMS disapproval, no alternative for sites/patient, risk of financial burden."
NCT04654195,Doxorubicin,UNKNOWN,,,
NCT00499018,Doxorubicin,UNKNOWN,PHASE3,,
NCT00949182,Doxorubicin,COMPLETED,PHASE2,,
NCT05936086,Doxorubicin,RECRUITING,NA,,
NCT06944457,Doxorubicin,RECRUITING,PHASE1,,
NCT00002557,Doxorubicin,UNKNOWN,PHASE2,,
NCT02273856,Doxorubicin,TERMINATED,,,The study was terminated due to insufficient subject enrollment and very slow enrollment.
NCT00819351,Doxorubicin,COMPLETED,PHASE3,,
NCT03553537,Doxorubicin,UNKNOWN,PHASE3,,
NCT02456857,Doxorubicin,COMPLETED,PHASE2,,
NCT05411237,Doxorubicin,NOT_YET_RECRUITING,PHASE3,,
NCT00002898,Doxorubicin,COMPLETED,PHASE3,,
NCT00742963,Doxorubicin,COMPLETED,"PHASE1,PHASE2",,
NCT05159193,Doxorubicin,RECRUITING,PHASE3,,
NCT04625907,Doxorubicin,RECRUITING,"PHASE1,PHASE2",,
NCT01185964,Doxorubicin,COMPLETED,"PHASE1,PHASE2",,
NCT00039195,Doxorubicin,COMPLETED,PHASE2,,
NCT05326984,Doxorubicin,UNKNOWN,NA,,
NCT00003038,Doxorubicin,COMPLETED,PHASE1,,
NCT00651755,Doxorubicin,COMPLETED,NA,,
NCT03340376,Doxorubicin,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT00929591,Doxorubicin,COMPLETED,PHASE3,,
NCT00955890,Doxorubicin,TERMINATED,PHASE2,,Enrolled too slow
NCT02548780,Doxorubicin,COMPLETED,NA,,
NCT03407430,Doxorubicin,TERMINATED,PHASE2,,Low patient accrual
NCT01120834,Doxorubicin,COMPLETED,"PHASE1,PHASE2",,
NCT02502266,Doxorubicin,ACTIVE_NOT_RECRUITING,"PHASE2,PHASE3",,
NCT02472353,Doxorubicin,TERMINATED,PHASE2,,did not meet target accrual
NCT02822157,Doxorubicin,UNKNOWN,PHASE2,,
NCT00101101,Doxorubicin,COMPLETED,PHASE2,,
NCT01925612,Doxorubicin,TERMINATED,PHASE2,,Sponsor decision based on portfolio prioritization and changing treatment landscape in frontline DLBCL
NCT03286634,Doxorubicin,RECRUITING,PHASE2,,
NCT02890602,Doxorubicin,COMPLETED,PHASE2,,
NCT02260544,Doxorubicin,COMPLETED,PHASE1,,
NCT00204659,Doxorubicin,COMPLETED,PHASE2,,
NCT03603379,Doxorubicin,COMPLETED,PHASE1,,
NCT06839703,Doxorubicin,NOT_YET_RECRUITING,PHASE1,,
NCT01451580,Doxorubicin,UNKNOWN,PHASE2,,
NCT01051362,Doxorubicin,UNKNOWN,PHASE2,,
NCT00656669,Doxorubicin,COMPLETED,NA,,
NCT03437070,Doxorubicin,WITHDRAWN,PHASE1,,Sponsor Decision
NCT01111903,Doxorubicin,COMPLETED,"PHASE1,PHASE2",,
NCT00055679,Doxorubicin,COMPLETED,PHASE3,,
NCT00005583,Doxorubicin,COMPLETED,PHASE3,,
NCT04134936,Doxorubicin,COMPLETED,PHASE1,,
NCT01120171,Doxorubicin,TERMINATED,PHASE2,,Due to poor accrual
NCT01702129,Doxorubicin,COMPLETED,PHASE1,,
NCT02958163,Doxorubicin,TERMINATED,PHASE2,,lack of recruitment
NCT01036087,Doxorubicin,COMPLETED,PHASE2,,
NCT05899621,Doxorubicin,RECRUITING,,,
NCT00582725,Doxorubicin,COMPLETED,PHASE2,,
NCT01974440,Doxorubicin,COMPLETED,PHASE3,,
NCT07021989,Doxorubicin,NOT_YET_RECRUITING,PHASE2,,
NCT05467670,Doxorubicin,RECRUITING,PHASE2,,
NCT00945009,Doxorubicin,ACTIVE_NOT_RECRUITING,PHASE3,,
NCT02377752,Doxorubicin,COMPLETED,PHASE1,,
NCT04803019,Doxorubicin,UNKNOWN,PHASE3,,
NCT01255514,Doxorubicin,COMPLETED,PHASE2,,
NCT01669239,Doxorubicin,COMPLETED,PHASE2,,
NCT01234519,Doxorubicin,TERMINATED,"PHASE1,PHASE2",,Poor recruitment
NCT01967667,Doxorubicin,COMPLETED,NA,,
NCT04843267,Doxorubicin,UNKNOWN,PHASE2,,
NCT00758732,Doxorubicin,TERMINATED,PHASE2,,Poor accrual
NCT04877821,Doxorubicin,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT03407144,Doxorubicin,ACTIVE_NOT_RECRUITING,PHASE2,,
NCT02141906,Doxorubicin,COMPLETED,PHASE2,,
NCT01678664,Doxorubicin,COMPLETED,PHASE2,,
NCT05281471,Doxorubicin,RECRUITING,PHASE3,,
NCT03971409,Doxorubicin,RECRUITING,PHASE2,,
NCT02142049,Doxorubicin,COMPLETED,"PHASE1,PHASE2",,
NCT02200757,Doxorubicin,COMPLETED,PHASE2,,
NCT01708798,Doxorubicin,TERMINATED,"PHASE2,PHASE3",,Futility
NCT00003640,Doxorubicin,TERMINATED,PHASE2,,low accrual
NCT03356860,Doxorubicin,COMPLETED,"PHASE1,PHASE2",,
NCT06699576,Doxorubicin,NOT_YET_RECRUITING,PHASE1,,
NCT05858710,Doxorubicin,COMPLETED,PHASE1,,
NCT02964260,Doxorubicin,UNKNOWN,NA,,
NCT00038142,Doxorubicin,TERMINATED,PHASE2,,Low Accrual
NCT02331251,Doxorubicin,TERMINATED,"PHASE1,PHASE2",,PI not longer at site.
NCT01338753,Doxorubicin,COMPLETED,PHASE2,,
NCT00730483,Doxorubicin,TERMINATED,NA,,High incidence of biloma and liver abscess after TACE
NCT00187070,Doxorubicin,COMPLETED,NA,,
NCT00581854,Doxorubicin,COMPLETED,PHASE2,,
NCT00129935,Doxorubicin,COMPLETED,PHASE3,,
NCT04650984,Doxorubicin,RECRUITING,PHASE3,,
NCT04969835,Doxorubicin,RECRUITING,PHASE1,,
NCT03719326,Doxorubicin,COMPLETED,PHASE1,,
NCT00331552,Doxorubicin,COMPLETED,"PHASE1,PHASE2",,
NCT00737438,Doxorubicin,COMPLETED,PHASE2,,
NCT00193115,Doxorubicin,COMPLETED,PHASE2,,
NCT01234324,Doxorubicin,COMPLETED,PHASE2,,
NCT01033578,Doxorubicin,UNKNOWN,NA,,
NCT00278408,Doxorubicin,COMPLETED,PHASE3,,
NCT00773383,Erlotinib,TERMINATED,PHASE2,,
NCT01515969,Erlotinib,TERMINATED,PHASE1,,Patient safety - Unacceptable toxicity
NCT00405405,Erlotinib,COMPLETED,PHASE1,,
NCT00137826,Erlotinib,COMPLETED,PHASE2,,
NCT02006043,Erlotinib,UNKNOWN,PHASE2,,
NCT02904850,Erlotinib,UNKNOWN,,,
NCT00564720,Erlotinib,TERMINATED,PHASE2,,Due to poor accrual of the study
NCT00553462,Erlotinib,COMPLETED,PHASE2,,
NCT00137839,Erlotinib,COMPLETED,PHASE2,,
NCT00207077,Erlotinib,COMPLETED,PHASE1,,
NCT01032070,Erlotinib,TERMINATED,PHASE2,,"In a pre-planned interim analysis, OSI-774-205 met futility for efficacy with no safety concerns. As a result, it has been stopped."
NCT02847377,Erlotinib,COMPLETED,NA,,
NCT00843531,Erlotinib,TERMINATED,PHASE2,,Low Accrual
NCT00585377,Erlotinib,COMPLETED,PHASE2,,
NCT02787447,Erlotinib,UNKNOWN,PHASE2,,
NCT01101334,Erlotinib,COMPLETED,PHASE2,,
NCT02638428,Erlotinib,UNKNOWN,PHASE2,,
NCT01932229,Erlotinib,UNKNOWN,PHASE2,,
NCT04193007,Erlotinib,UNKNOWN,PHASE2,,
NCT00060307,Erlotinib,COMPLETED,PHASE2,,
NCT00881166,Erlotinib,COMPLETED,PHASE1,,
NCT00577707,Erlotinib,COMPLETED,PHASE2,,
NCT00973310,Erlotinib,UNKNOWN,PHASE2,,
NCT00242502,Erlotinib,COMPLETED,PHASE2,,
NCT01103375,Erlotinib,TERMINATED,PHASE1,,Slow accrual
NCT00954226,Erlotinib,COMPLETED,PHASE1,,
NCT00553254,Erlotinib,COMPLETED,PHASE2,,
NCT01535729,Erlotinib,COMPLETED,,,
NCT02770014,Erlotinib,TERMINATED,PHASE2,,Terminated due to Osimertinib approval
NCT00661193,Erlotinib,COMPLETED,PHASE2,,
NCT01068587,Erlotinib,COMPLETED,"PHASE1,PHASE2",,
NCT00281021,Erlotinib,TERMINATED,PHASE2,,Interim analysis revealed that only 1 patient had a partial response.
NCT00536640,Erlotinib,COMPLETED,PHASE2,,
NCT00266097,Erlotinib,COMPLETED,PHASE1,,
NCT00039182,Erlotinib,COMPLETED,PHASE2,,
NCT06675695,Erlotinib,ACTIVE_NOT_RECRUITING,,,
NCT00556712,Erlotinib,COMPLETED,PHASE3,,
NCT00660816,Erlotinib,COMPLETED,PHASE2,,
NCT02364609,Erlotinib,COMPLETED,PHASE1,,
NCT02748707,Erlotinib,UNKNOWN,PHASE2,,
NCT00720356,Erlotinib,COMPLETED,PHASE2,,
NCT00384826,Erlotinib,COMPLETED,PHASE2,,
NCT04007835,Erlotinib,UNKNOWN,NA,,
NCT02954523,Erlotinib,TERMINATED,"PHASE1,PHASE2",,Lack of accrual
NCT00718315,Erlotinib,COMPLETED,PHASE3,,
NCT01180959,Erlotinib,COMPLETED,PHASE2,,
NCT00043823,Erlotinib,COMPLETED,"PHASE1,PHASE2",,
NCT00026338,Erlotinib,COMPLETED,PHASE3,,
NCT02293733,Erlotinib,COMPLETED,,,
NCT00144976,Erlotinib,COMPLETED,NA,,
NCT00954525,Erlotinib,COMPLETED,PHASE1,,
NCT02882984,Erlotinib,UNKNOWN,PHASE3,,
NCT00672243,Erlotinib,COMPLETED,PHASE2,,
NCT01110876,Erlotinib,TERMINATED,"PHASE1,PHASE2",,Unanticipated Toxicities
NCT01377376,Erlotinib,TERMINATED,PHASE3,,
NCT01835938,Erlotinib,UNKNOWN,"PHASE1,PHASE2",,
NCT02926638,Erlotinib,TERMINATED,"PHASE2,PHASE3",,Drug company decided to terminate all sponsored clinical studies involving rilotumumab.
NCT00446225,Erlotinib,COMPLETED,PHASE3,,
NCT01951755,Erlotinib,COMPLETED,,,
NCT00611715,Erlotinib,TERMINATED,PHASE2,,low accrual
NCT01782690,Erlotinib,COMPLETED,,,
NCT00895362,Erlotinib,COMPLETED,PHASE1,,
NCT01137162,Erlotinib,TERMINATED,,,Low Accrual
NCT01123460,Erlotinib,COMPLETED,,,
NCT01416688,Erlotinib,COMPLETED,,,
NCT00883480,Erlotinib,COMPLETED,NA,,
NCT02318368,Erlotinib,TERMINATED,PHASE2,,Sponsor's decision
NCT00301418,Erlotinib,COMPLETED,"PHASE1,PHASE2",,
NCT00642746,Erlotinib,TERMINATED,PHASE2,,Terminated due to poor enrollment and grade 3 toxicities noted during an interim analysis.
NCT06678230,Erlotinib,NOT_YET_RECRUITING,PHASE2,,
NCT00462995,Erlotinib,COMPLETED,PHASE2,,
NCT01000428,Erlotinib,UNKNOWN,,,
NCT00531934,Erlotinib,COMPLETED,PHASE2,,
NCT01306045,Erlotinib,COMPLETED,PHASE2,,
NCT04045522,Erlotinib,UNKNOWN,,,
NCT02000531,Erlotinib,COMPLETED,PHASE4,,
NCT00337883,Erlotinib,COMPLETED,PHASE2,,
NCT00193622,Erlotinib,COMPLETED,PHASE2,,
NCT00063895,Erlotinib,COMPLETED,"PHASE1,PHASE2",,
NCT00832637,Erlotinib,TERMINATED,PHASE2,,Low accrual
NCT00888511,Erlotinib,COMPLETED,PHASE2,,
NCT00739063,Erlotinib,TERMINATED,PHASE2,,Poor Accrual
NCT00579683,Erlotinib,COMPLETED,,,
NCT00339586,Erlotinib,UNKNOWN,PHASE2,,
NCT00187486,Erlotinib,COMPLETED,PHASE2,,
NCT00536770,Erlotinib,SUSPENDED,PHASE2,,DSMB
NCT01752205,Erlotinib,UNKNOWN,PHASE3,,
NCT03720873,Erlotinib,UNKNOWN,PHASE2,,
NCT01211483,Erlotinib,COMPLETED,"PHASE1,PHASE2",,
NCT02468661,Erlotinib,TERMINATED,PHASE1,,Major challenge for enrollment of participants.
NCT00975767,Erlotinib,TERMINATED,PHASE1,,"The study was terminated due to a need for a reformulation of the study drug. Phase 1 completed, no patients enrolled in Phase 2."
NCT00656136,Erlotinib,COMPLETED,PHASE3,,
NCT02155465,Erlotinib,COMPLETED,"PHASE1,PHASE2",,
NCT00227032,Erlotinib,TERMINATED,PHASE1,,Loss of funding
NCT00367601,Erlotinib,COMPLETED,PHASE2,,
NCT01116336,Erlotinib,COMPLETED,PHASE1,,
NCT00254384,Erlotinib,COMPLETED,PHASE1,,
NCT00671970,Erlotinib,COMPLETED,PHASE2,,
NCT00570258,Erlotinib,TERMINATED,PHASE2,,"FDA approved higher dose of study drug. Dose used in protocol lower than SOC - enrollment stopped, those on treatment were given option to opt out."
NCT02080078,Erlotinib,TERMINATED,PHASE1,,REB decision
NCT01503502,Imatinib,UNKNOWN,PHASE2,,
NCT03639922,Imatinib,UNKNOWN,PHASE3,,
NCT00048672,Imatinib,COMPLETED,PHASE2,,
NCT02847377,Imatinib,COMPLETED,NA,,
NCT00782834,Imatinib,TERMINATED,PHASE2,,"Stopped early for futility, unable to meet accrual goals"
NCT01460498,Imatinib,COMPLETED,PHASE1,,
NCT06175702,Imatinib,NOT_YET_RECRUITING,,,
NCT01440959,Imatinib,COMPLETED,PHASE2,,
NCT00324077,Imatinib,WITHDRAWN,PHASE1,,Insufficient Enrollment
NCT02127372,Imatinib,TERMINATED,"PHASE1,PHASE2",,The study was closed due to poor accrual
NCT00030667,Imatinib,COMPLETED,PHASE2,,
NCT01751919,Imatinib,COMPLETED,PHASE1,,
NCT02638428,Imatinib,UNKNOWN,PHASE2,,
NCT03205267,Imatinib,UNKNOWN,PHASE2,,
NCT00538109,Imatinib,COMPLETED,NA,,
NCT00112775,Imatinib,UNKNOWN,PHASE2,,
NCT00061945,Imatinib,COMPLETED,"PHASE1,PHASE2",,
NCT00707408,Imatinib,COMPLETED,PHASE2,,
NCT00499889,Imatinib,TERMINATED,PHASE2,,Support issue.
NCT03674099,Imatinib,UNKNOWN,PHASE2,,
NCT00094029,Imatinib,APPROVED_FOR_MARKETING,,,
NCT00493181,Imatinib,COMPLETED,PHASE2,,
NCT00615927,Imatinib,COMPLETED,PHASE2,,
NCT01175109,Imatinib,UNKNOWN,PHASE1,,
NCT03241199,Imatinib,UNKNOWN,PHASE2,,
NCT05905887,Imatinib,RECRUITING,PHASE2,,
NCT02272777,Imatinib,COMPLETED,PHASE3,,
NCT01460693,Imatinib,COMPLETED,PHASE3,,
NCT07091019,Imatinib,NOT_YET_RECRUITING,,,
NCT00425646,Imatinib,COMPLETED,PHASE2,,
NCT02954523,Imatinib,TERMINATED,"PHASE1,PHASE2",,Lack of accrual
NCT04409223,Imatinib,TERMINATED,PHASE3,,R\&D strategy adjustment
NCT01004497,Imatinib,COMPLETED,PHASE2,,
NCT01810718,Imatinib,COMPLETED,PHASE1,,
NCT00763763,Imatinib,COMPLETED,PHASE2,,
NCT01933906,Imatinib,COMPLETED,PHASE1,,
NCT02352558,Imatinib,COMPLETED,PHASE1,,
NCT00455221,Imatinib,COMPLETED,PHASE1,,
NCT02607332,Imatinib,COMPLETED,PHASE2,,
NCT01216085,Imatinib,COMPLETED,PHASE2,,
NCT00920868,Imatinib,COMPLETED,PHASE1,,
NCT00075218,Imatinib,COMPLETED,PHASE3,,
NCT04330690,Imatinib,UNKNOWN,PHASE3,,
NCT00881049,Imatinib,COMPLETED,PHASE2,,
NCT01126814,Imatinib,COMPLETED,"PHASE1,PHASE2",,
NCT03996096,Imatinib,COMPLETED,,,
NCT06889168,Imatinib,RECRUITING,PHASE1,,
NCT01048320,Imatinib,COMPLETED,PHASE1,,
NCT03454503,Imatinib,COMPLETED,,,
NCT03844360,Imatinib,RECRUITING,PHASE4,,
NCT04006769,Imatinib,COMPLETED,EARLY_PHASE1,,
NCT00702689,Imatinib,COMPLETED,PHASE2,,
NCT00079313,Imatinib,COMPLETED,PHASE2,,
NCT02398825,Imatinib,TERMINATED,PHASE2,,low enrollment rate
NCT05245968,Imatinib,RECRUITING,PHASE1,,
NCT02897245,Imatinib,UNKNOWN,,,
NCT03885830,Imatinib,COMPLETED,,,
NCT06336395,Imatinib,RECRUITING,PHASE2,,
NCT00324987,Imatinib,TERMINATED,PHASE3,,The trial failed to accrue
NCT01690065,Imatinib,UNKNOWN,PHASE2,,
NCT04598009,Imatinib,RECRUITING,PHASE2,,
NCT01568645,Imatinib,WITHDRAWN,PHASE1,,
NCT00219765,Imatinib,TERMINATED,"PHASE1,PHASE2",,
NCT05381753,Imatinib,COMPLETED,,,
NCT00150072,Imatinib,COMPLETED,PHASE2,,
NCT00362466,Imatinib,TERMINATED,PHASE3,,Insufficient Enrollment
NCT00760981,Imatinib,COMPLETED,PHASE1,,
